80.2156,94.9442,266.475,121.851
48.3025,66.4346,232.494,101.466
126.086,89.0413,307.465,106.11
108.56,14.6232,277.623,37.9318
146.623,109.85,330.423,121.827
44.6954,17.9358,220.452,55.9432
27.7689,34.2388,208.353,75.3117
133.213,89.2846,314.122,104.765
56.1795,72.9916,240.751,106.012
44.0993,87.6395,232.593,122.622
40.8666,68.7973,226.285,105.351
92.8116,53.6858,270.39,79.3382
20.2797,75.9818,209.294,116.634
46.804,58.1864,229.662,93.9245
46.6292,54.1888,228.779,90.1456
45.0614,54.1301,227.367,90.4364
66.1446,71.4004,249.434,102.306
88.033,91.2236,272.902,116.57
150.592,28.4463,319.084,41.4482
164.214,29.8027,332.101,39.5444
311.111,67.48,481.958,41.5557
205.529,19.7305,369.416,19.6427
166.167,61.8499,339.878,70.5076
228.348,68.0051,400.417,62.0258
168.598,95.1909,348.344,102.634
165.938,63.5379,339.983,72.2036
257.348,94.2993,433.63,81.419
261.306,66.9618,432.369,53.1296
231.691,29.5754,396.447,23.0013
166.818,19.0329,332.551,28.3585
188.61,28.6124,354.936,32.5299
229.424,19.8323,392.425,13.8643
195.435,78.2961,370.695,79.9041
290.368,75.5441,462.713,54.7647
195.51,80.5644,371.189,82.124
235.146,74.4265,408.213,66.8073
240.005,114.257,420.414,105.326
339.755,62.7319,509.991,29.6535
338.851,94.1963,515.109,61.9205
462.318,94.8739,644.725,31.8072
328.735,67.7805,499.796,37.5166
439.649,67.549,615.097,9.08249
439.587,67.3123,614.986,8.85153
364.889,79.0867,538.888,40.0876
403.832,74.4582,578.129,25.6657
538.009,96.4335,728.031,13.741
500.887,83.6054,684.436,9.91629
500.086,94.046,685.691,21.1476
572.842,93.7268,766.806,1.48831
502.546,78.2221,685.2,3.77829
125.765,199.172,327.423,213.001
100.611,146.51,294.524,167.18
69.0816,147.976,266.049,175.068
105.089,185.748,305.824,204.117
93.9802,199.789,298.187,219.852
73.9902,152.451,271.314,178.356
69.969,187.61,274.068,212.842
38.1492,221.985,251.611,251.732
155.246,183.133,352.031,191.466
45.9113,225.887,259.286,253.996
95.4153,151.696,290.709,173.25
107.776,183.372,307.869,201.301
64.341,182.471,268.03,209.045
135.783,133.132,324.593,146.84
53.0458,221.921,264.991,248.885
129.095,214.573,333.353,227.276
103.86,199.623,307.236,217.758
93.6322,224.532,302.388,243.724
68.8152,199.659,275.21,224.617
93.4107,153.493,289.203,175.392
156.893,146.048,346.728,154.933
98.1737,232.818,308.074,250.836
140.089,220.617,344.731,230.997
64.1431,181.702,267.711,208.348
44.7315,200.652,253.654,230.194
104.586,152.772,299.325,172.407
243.485,145.251,429.584,135.406
275.352,182.016,467.882,165.169
250.955,134.517,434.879,123.052
173.71,200.198,372.656,204.404
276.389,200.411,472.423,183.384
181.134,196.878,379.1,199.645
248.532,150.58,435.521,139.601
267.188,149.967,453.754,134.866
288.978,219.255,488.515,199.643
179.728,221.626,382.345,224.19
181.498,171.349,374.687,174.514
292.418,135.776,476.159,114.946
191.332,182.991,386.231,183.902
200.74,202.228,398.85,200.908
193.663,178.698,387.687,179.203
166.794,207.975,367.538,213.403
218.322,203.506,416.047,198.569
169.013,224.23,372.656,228.864
218.544,201.701,415.925,196.739
314.064,200.318,510.158,175.254
169.761,225.614,373.621,230.07
265.748,151.823,452.682,137.042
262.945,202.628,459.522,188.434
220.056,161.091,409.79,156.233
233.959,185.13,427.802,177.106
201.041,204.778,399.613,203.359
392.398,187.075,588.213,144.467
441.506,213.84,645.462,161.096
354.989,182.119,548.361,147.798
437.49,142.482,627.445,87.7247
475.21,191.029,677.471,129.52
356.874,176.626,549.288,141.769
390.117,217.201,591.59,175.963
392.886,206.418,592.427,164.264
389.068,168.5,581.108,126.116
425.297,168.347,619.328,117.538
458.182,153.196,651.525,93.9396
438.805,198.088,639.68,145.316
428.277,186.637,626.081,135.828
342.033,235.664,545.325,205.132
391.498,206.219,590.935,164.367
448.285,143.334,638.962,86.0322
542.995,219.203,757.908,143.443
501.464,191.225,706.243,123.544
575.798,144.477,780.266,55.335
550.964,189.851,761.18,110.206
496.237,133.963,689.219,64.3496
503.137,173.279,704.518,104.187
579.552,166.28,788.887,77.8471
575.023,157.332,782.82,69.2257
578.519,178.323,790.102,91.0694
140.379,325.775,364.329,332.99
133.58,283.535,350.198,293.25
142.258,284.633,358.532,292.743
129.822,333.876,355.919,342.643
143.887,299.815,362.855,307.188
129.599,307.111,350.803,316.788
12.5706,315.265,245.622,344.493
21.7191,293.085,249.775,322.011
11.6524,265.279,235.815,297.484
68.2567,344.865,301.083,363.435
14.2546,347.66,252.945,374.773
128.868,342.601,356.626,351.241
98.4429,327.599,325.613,341.866
87.0112,255.394,301.948,274.605
35.4986,293.255,262.129,319.816
54.7525,272.813,275.765,297.033
145.539,257.592,356.639,265.871
70.64,307.742,296.517,327.596
54.5485,266.747,274.482,291.291
61.8675,262.073,280.256,285.525
142.073,255.271,352.958,264.266
204.9,287.055,418.613,283.611
214.957,285.749,428.098,280.449
204.424,287.428,418.223,284.067
215.823,285.049,428.807,279.596
225.915,284.007,438.421,276.672
187.589,286.387,401.845,286.161
291.451,275.743,501.637,255.856
291.847,276.215,502.123,256.253
289.847,301.531,504.891,282.039
276.546,294.608,490.29,277.633
292.782,301.529,507.835,281.48
227.434,300.002,442.884,292.206
196.402,342.822,420.778,339.954
299.977,301.343,515.036,279.923
295.674,298.592,510.187,277.98
193.739,292.795,408.932,291.315
243.446,288.273,456.361,277.593
193.026,279.4,405.763,278.297
306.431,295.432,520.43,272.74
235.729,302.663,451.485,293.306
291.298,298.474,505.77,278.697
268.893,260.692,476.331,245.231
218.393,280.576,430.468,274.699
372.815,300.126,589.394,264.558
369.971,300.304,586.469,265.301
364.255,280.269,576.707,245.984
365.006,318.401,584.774,284.741
381.523,324.035,603.063,287.32
404.462,315.457,625.34,273.978
386.565,266.482,597.308,227.328
381.435,323.982,602.961,287.283
391.241,333.089,615.015,294.745
381.974,327.035,604.109,290.304
337.028,273.748,547.428,244.818
404.756,314.326,625.443,272.76
375.046,322.898,596.08,287.403
399.96,337.062,622.778,296.186
389.843,261.836,599.87,221.884
374.975,289.7,589.649,253.469
384.557,329.109,607.211,291.933
380.537,270.828,591.836,233.023
352.458,329.73,573.955,298.674
375.083,289.51,589.726,253.253
354.737,334.34,577.199,302.94
367.494,330.405,589.651,296.511
352.967,343.717,575.285,311.733
363.558,287,577.27,252.992
561.551,290.482,793.031,215.344
561.259,258.825,786.476,181.553
542.139,261.701,765.329,188.915
543.656,261.856,767.068,188.741
551.011,249.941,773.134,174.385
555.182,323.028,792.225,251.465
543.517,304.904,775.399,234.603
550.493,273.509,777.179,199.651
559.018,274.896,787.07,199.238
542.24,303.516,773.685,233.397
558.795,324.951,796.709,252.762
154.607,421.684,394.71,421.993
153.873,442.568,397.835,442.256
148.861,448.748,394.244,448.951
51.9073,428.858,301.34,444.044
12.062,371.697,255.517,396.216
29.278,371.687,270.805,393.563
339.407,380.316,568.331,351.077
348.239,405.926,582.222,375.358
358.499,426.001,596.588,393.901
