144.627,86.348
146.851,90.9991
48.1833,99.3893
146.504,87.0581
143.591,85.8489
119.416,99.6787
120.871,109.038
122.967,112.095
154.664,96.9279
67.9878,98.2129
21.0804,107.527
101.536,96.1442
86.1624,99.8898
243.621,11.1941
308.871,49.3221
191.343,95.1203
213.092,83.0701
212.362,82.0263
221.15,91.3348
180.938,85.4152
166.991,88.9911
199.933,99.9521
212.826,87.7111
196.181,84.7703
182.114,89.1006
205.409,78.4286
206.265,81.8795
189.783,93.7537
219.62,99.0518
198.509,84.5715
206.127,79.4411
238.817,101.593
175.75,95.5181
192.031,92.2805
168.948,103.308
170.861,103.517
215.804,100.735
431.314,95.9238
431.729,96.2384
383.295,100.024
383.577,99.6253
474.207,93.6516
329.912,103.917
343.382,86.0073
334.166,50.3266
379.216,96.351
435.058,46.1361
343.753,85.93
325.624,99.4855
450.47,82.0524
448.924,79.4916
428.877,81.6733
428.898,81.8534
328.743,90.539
397.074,86.6423
382.588,113.332
396.644,85.1992
396.447,85.2735
399.617,51.7914
379.152,87.6496
331.303,78.3585
333.584,115.055
442.589,55.2202
331.859,80.8669
408.304,77.9269
376.451,83.127
465.188,85.836
328.978,67.288
357.684,88.3822
408.568,76.4839
333.793,75.7219
332.785,74.1641
323.758,63.0692
443.739,59.5543
337.982,63.9567
364.105,85.1098
446.852,68.1984
594.279,94.0336
594.021,93.6748
605.231,26.9156
614.723,70.1152
618.363,56.798
592.308,96.3532
619.472,58.5694
600.177,16.8771
586.602,65.3979
628.599,49.9221
599.145,40.7913
582.292,61.2843
618.902,50.6161
586.076,74.4978
589.841,44.4566
613.837,38.6141
597.721,93.0517
602.971,101.167
580.42,40.8564
587.621,12.2314
579.648,48.0482
627.768,34.6921
578.451,34.1106
631.687,49.6377
599.137,55.0329
621.151,82.8682
596.809,114.171
625.224,38.0462
576.52,25.2554
484.831,89.9111
503.948,82.8061
591.731,55.3357
584.401,39.2518
617.411,84.1171
600.367,57.6704
590.336,56.2039
634.639,41.9306
601.987,71.0247
624.63,74.0885
622.515,84.4088
786.74,45.4274
778.746,43.9979
675.262,77.5759
658.4,74.5706
646.655,62.8068
732.66,17.1179
773.358,40.3316
776.028,42.9079
643.629,43.7111
672.203,68.413
727.871,10.513
641.088,73.5532
694.453,24.0071
659.018,50.8045
694.01,22.5095
655.283,31.8144
679.064,88.7123
681.907,88.7639
681.982,80.6706
662.91,89.3159
664.2,92.9378
701.901,72.8534
724.297,52.1546
667.871,26.7722
785.753,68.1932
725.819,51.9416
723.579,23.0815
641.209,87.3477
648.278,76.8511
687.702,76.0657
664.886,66.1075
647.779,27.6193
690.886,74.1463
726.549,21.6424
690.667,74.754
684.962,32.1022
741.104,17.2274
715.643,48.5791
721.476,25.0875
696.704,73.5379
419.754,183.272
429.118,219.544
416.565,224.903
416.847,233.178
409.112,196.025
416.796,191.114
461.31,216.562
431.769,182.977
418.26,214.577
409.835,198.532
447.134,215.847
408.794,190.889
460.571,215.242
417.892,212.067
423.149,195.946
419.716,208.496
419.299,207.239
415.394,201.53
418.342,208.327
410.282,176.609
417.11,206.994
405.367,230.89
478.087,214.802
459.448,231.178
460.563,233.26
407.163,177.121
409.842,175.515
411.175,172.237
416.005,166.53
451.784,190.393
371.088,228.633
412.516,179.174
441.884,221.684
417.079,165.065
452.539,190.576
